link_index,kingdom,area_scope,home_stage,home_entrance_in,home_entrance_out,sub_stage,sub_entrance_in,sub_entrance_out,home_in_node_id,home_out_node_id,sub_near_node_id,sub_far_node_id,status,notes
141,Moon Kingdom,overworld,MoonWorldHomeStage,aaa,aaa,MoonWorldWeddingRoomStage,aaa,aaa,MoonWorldHomeStage::entrance::aaa::home_in,MoonWorldHomeStage::entrance::aaa::home_out,MoonWorldWeddingRoomStage::entrance::aaa::sub_near,MoonWorldWeddingRoomStage::entrance::aaa::sub_far,vanilla,"Fixed (non-randomized) story/internal route; connected for logic, excluded from ER shuffle."
142,Mushroom Kingdom,subarea,PeachWorldPictureBossForestStage,PictureBossForest,PictureBossForest,RevengeForestBossStage,PictureBossForest,PictureBossForest,PeachWorldPictureBossForestStage::entrance::PictureBossForest::home_in,PeachWorldPictureBossForestStage::entrance::PictureBossForest::home_out,RevengeForestBossStage::entrance::PictureBossForest::sub_near,RevengeForestBossStage::entrance::PictureBossForest::sub_far,vanilla,"Fixed (non-randomized) story/internal route; connected for logic, excluded from ER shuffle."
143,Mushroom Kingdom,subarea,PeachWorldPictureBossKnuckleStage,PictureBossKnuckle,PictureBossKnuckle,RevengeBossKnuckleStage,PictureBossKnuckle,PictureBossKnuckle,PeachWorldPictureBossKnuckleStage::entrance::PictureBossKnuckle::home_in,PeachWorldPictureBossKnuckleStage::entrance::PictureBossKnuckle::home_out,RevengeBossKnuckleStage::entrance::PictureBossKnuckle::sub_near,RevengeBossKnuckleStage::entrance::PictureBossKnuckle::sub_far,vanilla,"Fixed (non-randomized) story/internal route; connected for logic, excluded from ER shuffle."
144,Mushroom Kingdom,subarea,PeachWorldPictureBossMagmaStage,PictureBossMagma,PictureBossMagma,RevengeBossMagmaStage,PictureBossMagma,PictureBossMagma,PeachWorldPictureBossMagmaStage::entrance::PictureBossMagma::home_in,PeachWorldPictureBossMagmaStage::entrance::PictureBossMagma::home_out,RevengeBossMagmaStage::entrance::PictureBossMagma::sub_near,RevengeBossMagmaStage::entrance::PictureBossMagma::sub_far,vanilla,"Fixed (non-randomized) story/internal route; connected for logic, excluded from ER shuffle."
145,Mushroom Kingdom,subarea,PeachWorldPictureBossRaidStage,PictureBossRaid,PictureBossRaid,RevengeBossRaidStage,PictureBossRaid,PictureBossRaid,PeachWorldPictureBossRaidStage::entrance::PictureBossRaid::home_in,PeachWorldPictureBossRaidStage::entrance::PictureBossRaid::home_out,RevengeBossRaidStage::entrance::PictureBossRaid::sub_near,RevengeBossRaidStage::entrance::PictureBossRaid::sub_far,vanilla,"Fixed (non-randomized) story/internal route; connected for logic, excluded from ER shuffle."
146,Mushroom Kingdom,subarea,PeachWorldPictureGiantWanderBossStage,PictureGiantWanderBoss,PictureGiantWanderBoss,RevengeGiantWanderBossStage,PictureGiantWanderBoss,PictureGiantWanderBoss,PeachWorldPictureGiantWanderBossStage::entrance::PictureGiantWanderBoss::home_in,PeachWorldPictureGiantWanderBossStage::entrance::PictureGiantWanderBoss::home_out,RevengeGiantWanderBossStage::entrance::PictureGiantWanderBoss::sub_near,RevengeGiantWanderBossStage::entrance::PictureGiantWanderBoss::sub_far,vanilla,"Fixed (non-randomized) story/internal route; connected for logic, excluded from ER shuffle."
147,Mushroom Kingdom,subarea,PeachWorldPictureMofumofuStage,PictureMofumofu,PictureMofumofu,RevengeMofumofuStage,PictureMofumofu,PictureMofumofu,PeachWorldPictureMofumofuStage::entrance::PictureMofumofu::home_in,PeachWorldPictureMofumofuStage::entrance::PictureMofumofu::home_out,RevengeMofumofuStage::entrance::PictureMofumofu::sub_near,RevengeMofumofuStage::entrance::PictureMofumofu::sub_far,vanilla,"Fixed (non-randomized) story/internal route; connected for logic, excluded from ER shuffle."
148,Sand Kingdom,overworld,SandWorldHomeStage,pyramid01,pyramid01,SandWorldPyramid000Stage,pyramid01,pyramid01,SandWorldHomeStage::entrance::pyramid01::home_in,SandWorldHomeStage::entrance::pyramid01::home_out,SandWorldPyramid000Stage::entrance::pyramid01::sub_near,SandWorldPyramid000Stage::entrance::pyramid01::sub_far,vanilla,"Fixed (non-randomized) story/internal route; connected for logic, excluded from ER shuffle."
149,Sand Kingdom,overworld,SandWorldHomeStage,pyramid04,pyramid04,SandWorldPyramid001Stage,pyramid04,pyramid04,SandWorldHomeStage::entrance::pyramid04::home_in,SandWorldHomeStage::entrance::pyramid04::home_out,SandWorldPyramid001Stage::entrance::pyramid04::sub_near,SandWorldPyramid001Stage::entrance::pyramid04::sub_far,vanilla,"Fixed (non-randomized) story/internal route; connected for logic, excluded from ER shuffle."
150,Sand Kingdom,overworld,SandWorldHomeStage,Under01,Under01,SandWorldUnderground000Stage,Under01,Under01,SandWorldHomeStage::entrance::Under01::home_in,SandWorldHomeStage::entrance::Under01::home_out,SandWorldUnderground000Stage::entrance::Under01::sub_near,SandWorldUnderground000Stage::entrance::Under01::sub_far,vanilla,"Fixed (non-randomized) story/internal route; connected for logic, excluded from ER shuffle."
151,Sand Kingdom,overworld,SandWorldHomeStage,Out,Out,SandWorldUnderground001Stage,Out,Out,SandWorldHomeStage::entrance::Out::home_in,SandWorldHomeStage::entrance::Out::home_out,SandWorldUnderground001Stage::entrance::Out::sub_near,SandWorldUnderground001Stage::entrance::Out::sub_far,vanilla,"Fixed (non-randomized) story/internal route; connected for logic, excluded from ER shuffle."
152,Sand Kingdom,subarea,SandWorldUnderground000Stage,Yadokari00,Yadokari00,SandWorldUnderground001Stage,Yadokari00,Yadokari00,SandWorldUnderground000Stage::entrance::Yadokari00::home_in,SandWorldUnderground000Stage::entrance::Yadokari00::home_out,SandWorldUnderground001Stage::entrance::Yadokari00::sub_near,SandWorldUnderground001Stage::entrance::Yadokari00::sub_far,vanilla,"Fixed (non-randomized) story/internal route; connected for logic, excluded from ER shuffle."
153,Snow Kingdom,subarea,SnowWorldTownStage,SnowCostumeEx,SnowCostumeEx,SnowWorldCostumeStage,SnowCostumeEx,SnowCostumeEx,SnowWorldTownStage::entrance::SnowCostumeEx::home_in,SnowWorldTownStage::entrance::SnowCostumeEx::home_out,SnowWorldCostumeStage::entrance::SnowCostumeEx::sub_near,SnowWorldCostumeStage::entrance::SnowCostumeEx::sub_far,active,
154,Snow Kingdom,overworld,SnowWorldHomeStage,SnowUGExit,SnowUGExit,SnowWorldTownStage,SnowUGExit,SnowUGExit,SnowWorldHomeStage::entrance::SnowUGExit::home_in,SnowWorldHomeStage::entrance::SnowUGExit::home_out,SnowWorldTownStage::entrance::SnowUGExit::sub_near,SnowWorldTownStage::entrance::SnowUGExit::sub_far,vanilla,"Fixed (non-randomized) story/internal route; connected for logic, excluded from ER shuffle."
155,Snow Kingdom,subarea,SnowWorldTownStage,RaceEntrance,RaceTrackExit,SnowWorldLobby000Stage,RaceEntrance,RaceTrackExit,SnowWorldTownStage::entrance::RaceEntrance::home_in,SnowWorldTownStage::entrance::RaceTrackExit::home_out,SnowWorldLobby000Stage::entrance::RaceEntrance::sub_near,SnowWorldLobby000Stage::entrance::RaceTrackExit::sub_far,vanilla,"Fixed (non-randomized) story/internal route; connected for logic, excluded from ER shuffle."
156,Snow Kingdom,subarea,SnowWorldTownStage,ShopDoor,ShopDoor,SnowWorldShopStage,ShopDoor,ShopDoor,SnowWorldTownStage::entrance::ShopDoor::home_in,SnowWorldTownStage::entrance::ShopDoor::home_out,SnowWorldShopStage::entrance::ShopDoor::sub_near,SnowWorldShopStage::entrance::ShopDoor::sub_far,active,
157,Darker Side,subarea,Special2WorldLavaStage,room2_start,room2_start,Special2WorldCloudStage,room2_start,room2_start,Special2WorldLavaStage::entrance::room2_start::home_in,Special2WorldLavaStage::entrance::room2_start::home_out,Special2WorldCloudStage::entrance::room2_start::sub_near,Special2WorldCloudStage::entrance::room2_start::sub_far,vanilla,"Fixed (non-randomized) story/internal route; connected for logic, excluded from ER shuffle."
158,Darker Side,subarea,Special2WorldLavaStage,room3_start,room3_start,Special2WorldKoopaStage,room3_goal,room3_goal,Special2WorldLavaStage::entrance::room3_start::home_in,Special2WorldLavaStage::entrance::room3_start::home_out,Special2WorldKoopaStage::entrance::room3_goal::sub_near,Special2WorldKoopaStage::entrance::room3_goal::sub_far,vanilla,"Fixed (non-randomized) story/internal route; connected for logic, excluded from ER shuffle."
159,Wooded Kingdom,overworld,ForestWorldHomeStage,Tower002,Tower002,ForestWorldTowerStage,Tower002,Tower002,ForestWorldHomeStage::entrance::Tower002::home_in,ForestWorldHomeStage::entrance::Tower002::home_out,ForestWorldTowerStage::entrance::Tower002::sub_near,ForestWorldTowerStage::entrance::Tower002::sub_far,vanilla,"Fixed (non-randomized) story/internal route; connected for logic, excluded from ER shuffle."
